cell_id,HYBAS_ID,weight
172,7121065360,0.9619055914746886
173,7120521870,0.8246729425418362
173,7121064980,0.01100165068637762
173,7121065360,0.1298618481563102
173,7121065870,0.03446355861547604
174,7120521870,0.034801016105251346
174,7121064980,0.13665293490890137
174,7121065870,0.8285460489858473
191,7120521870,0.745313238355376
191,7121065360,0.14042326855136186
191,7121065870,0.11426349309326209
192,7120521870,0.007769551188968504
192,7121065870,0.9922304488110315
209,7120521870,0.5758941577048112
209,7121065360,0.42410584229518883
210,7120521870,0.5922141426002081
210,7121065870,0.4077858573997919
211,7120521870,0.02754181059111055
211,7121065870,0.9724581894088895
227,7120521870,0.016356405051872563
227,7121065360,0.8919204465544813
227,7121066940,0.09172314839364594
228,7120521870,0.7504225655124543
228,7121065360,0.24957743448754577
229,7120521870,0.3651674382211339
229,7121065870,0.3399862744583619
229,7121066950,0.2948462873205043
246,7120521870,0.08370009920630554
246,7121065360,0.20858802812855254
246,7121066940,0.6929143258143864
246,7121067670,0.014797546850755851
247,7120521870,0.28934075327173137
247,7121066940,0.026380494514317926
247,7121066950,0.5185202331466408
247,7121067670,0.16575851906730993
151,7120521990,1.0
152,7120521990,0.905296788265013
152,7121065360,0.09470321173498686
168,7120521990,0.19894275757730986
168,7120522410,0.003987125042524273
168,7120523630,0.10496768122547151
168,7120524700,0.05199795566807208
168,7120524540,0.6401044804866225
169,7120521990,0.6276810275442413
169,7120524540,0.3723189724557587
170,7120521990,0.5370452265908365
170,7121065360,0.4302305746152848
170,7120524540,0.03272419879387862
145,7120523490,1.0
146,7120523490,1.0
147,7120523490,1.0
148,7120523490,0.8222685836400082
148,7120522410,0.08418364780637771
148,7120523630,0.09354776855361403
149,7120523490,0.01719073709758635
149,7120522410,0.8484448783861612
149,7120523630,0.13436438451625257
162,7120523490,0.880206743061463
162,7120525650,0.07377886513956967
162,7120525980,0.046014391798967366
163,7120523490,1.0
164,7120523490,1.0
165,7120523490,0.9999931099516691
165,7120523630,6.890048330903804e-06
166,7120523490,0.21220202937590193
166,7120523630,0.7877979706240981
180,7120523490,0.4214435929472506
180,7120525980,0.007080221548598573
180,7120524700,0.5714761855041507
181,7120523490,0.8993654576712322
181,7120524700,0.10063454232876788
182,7120523490,0.9545144343252163
182,7120524700,0.0454855656747836
183,7120523490,0.7563984129755054
183,7120523630,0.15634766748199766
183,7120524700,0.08725391954249703
184,7120523490,0.017792300451504886
184,7120523630,0.7960785895587669
184,7120524700,0.18612910998972818
199,7120523490,0.0011949780378614485
199,7120524700,0.9988050219621386
200,7120523490,0.048716809753897646
200,7120524700,0.8992691928536958
200,7121066590,0.052013997392406586
201,7120523490,0.03833629113327415
201,7120524700,0.5259082567797817
201,7121066590,0.4357554520869442
167,7120522410,0.004511078410808102
167,7120523630,0.9422265779758299
167,7120524700,0.05326234361336214
156,7121064980,0.9850641430810403
156,7121065870,0.014935856918959758
157,7121064980,0.992985949827005
157,7121065870,0.007014050172994942
158,7121064980,1.0
175,7121064980,0.3890242909469421
175,7121065870,0.6109757090530579
176,7121064980,1.0
193,7121064980,0.009124806497879159
193,7121065870,0.9908751935021208
194,7121064980,0.5563364432611306
194,7121065870,0.4436635567388695
195,7121064980,0.8170223516539544
195,7121065870,0.18297764834604552
